1st grade;2nd Grade;3rd grade;4th Grade;5th Grade;6th Grade;7th Grade;8th Grade;9th Grade;10th Grade
Knife;Horse;Hindi;Frost;Drift;Flora;Flora;Frost;Grass;Gloom
Laugh;House;Hindu;Glint;Eagle;Frost;Frost;Glean;Gritty;Grass
Leaves;Jolly;Horse;Globe;Earth;Glimp;Glint;Glint;Happy;Happy
Lemon;Juice;India;Grasp;Elate;Glint;Globe;Globe;Hazel;Hazel
Lunch;King;Jelly;Grass;Fable;Globe;Grasp;Grass;Honey;Honey
Magic;Knife;Karma;Greet;Fairy;Grass;Grass;Happy;Horse;Horse
Magic;Laugh;Kashi;Happy;Flame;Greet;Greet;Haste;House;House
Mango;Leaves;Kerala;Hazel;Flora;Happy;Happy;Hazel;Jolly;Jolly
Maple;Lemon;Lakes;Hazel;Frost;Hazel;Hazel;Honey;Knack;Knack
Mouse;Lotus;Lemon;Honey;Glimp;Heart;Heist;Horse;Knack;Knoll
Ocean;Magic;Lotus;Horse;Glint;Honey;Honey;House;Lapse;Laugh
Plant;Mango;Mango;House;Globe;Horse;Horse;Jolly;Laugh;Lilac
Plate;Maple;March;Jolly;Gloom;House;House;Knack;Maple;Livid
Queen;Money;Marsh;Joyful;Grass;Jolly;Jolly;Laugh;Master;Maple
Queen;Mouse;Music;Knack;Greet;null;Joust;Livid;Melon;Melon
Queen;Ocean;Mysore;Laugh;Gully;Knack;Knack;Maple;Music;Music
River;Plane;North;Maple;Happy;Knead;Knead;Melon;Niche;Oasis
Rocks;Plant;Ocean;Melon;Hasty;Laugh;Laugh;Music;Oasis;Ocean
Round;Plate;Ocean;Mount;Hazel;Lilac;Leapt;Oasis;Ocean;Paint
Shark;Queen;Parks;Music;Heart;Maple;Lilac;Ocean;Paint;Peach
Shoes;River;Plain;Oasis;Hiker;Melon;Maple;Paint;Peach;Pearl
Smile;Rocks;Plant;Ocean;Honey;Mirth;Melon;Peach;Peach;Plant
Snake;Round;Polar;Paint;Horse;Misty;Mirth;Pearl;Pearl;Poise
Spoon;Sheep;Punjab;Peach;House;Mount;Mount;Plant;Plant;Pulse
Stone;Shoes;Range;Pearl;Jewel;Music;Music;Poise;Poise;Quaff
Sugar;Smile;Rhino;Plant;Jolly;Oasis;Oasis;Pulse;Pulse;Quiet
Sweet;Smile;Rishi;Poise;Kabob;Ocean;Ocean;Quiet;Quiet;Ranch
Teeth;Snake;River;Pulse;Knack;Orchid;Orchid;Quirk;Ranch;Rhino
Tiger;Spice;Rocks;Quest;Knead;Paint;Paint;Ranch;Rhino;River
Toast;Spoon;Saree;Quiet;Laugh;Peach;Peach;Rhino;River;Roast
Trees;Square;Sheep;Ranch;Lilac;Pearl;Pearl;River;Roast;Round
Trick;Stone;Sitar;Rhino;Lunar;Pilot;Pilot;Roast;Round;Savor
White;Sugar;Slope;River;Maple;Plant;Plant;Round;Savor;Sheep
null;Sweet;Sloth;Roast;Melon;Plumy;Plumy;Savor;Sheep;Sheep
null;Table;Snake;Round;Mirth;Poise;Poise;Sheep;Shrine;Shrine
null;Teeth;South;Savor;Misty;Pulse;Pulse;Shrine;Silky;Silky
null;Tiger;Spice;Sheep;Mount;Quail;Quail;Silky;Skies;Skies
null;Toast;Stone;Shrine;Music;Queen;Quiet;Skies;Smile;Smile
null;Trail;Swamp;Silky;Oasis;Quiet;Ranch;Smile;Snail;Snail
null;Treat;Tamil;Skies;Ocean;Quirk;Rhino;Snail;Solar;Solar
null;Trees;Tiger;Smile;Orchid;Rainy;River;Solar;Spice;Spice
null;Trick;Trees;Snail;Paint;Ranch;Roast;Spice;Spire;Spire
null;Water;Vijay;Solar;Peach;Rhino;Round;Spire;Sport;Sport
null;White;Water;Spice;Pearl;River;Savor;Sport;Storm;Storm
null;null;Whale;Spire;Pilot;Roast;Sheep;Storm;Suite;Suite
null;null;White;Sport;Plane;Round;Silky;Suite;Sunny;Sunny
null;null;null;Storm;Plant;Savor;Skies;Sunny;Swirl;Swirl
null;null;null;Suite;Plumy;Sheep;Smile;Swirl;Tiger;Tiger
null;null;null;Sunny;Poise;Silky;Snail;Tiger;Torch;Torch
null;null;null;Swirl;Pulse;Skies;Snare;Torch;Trail;Trail
null;null;null;Tiger;Quail;Smile;Solar;Trail;Tryst;Tulip
null;null;null;Torch;Queen;Snail;Spice;Tulip;Tulip;Unity
null;null;null;Trail;Quiet;Snare;Spire;Unity;Unity;Villa
null;null;null;Tulip;Quirk;Solar;Sport;Villa;Villa;Vital
null;null;null;Unity;Rainy;Spice;Squid;Vital;Vital;Voice
null;null;null;Villa;Ranch;Spire;Storm;Voice;Voice;Whale
null;null;null;Vital;Rhino;Sport;Suite;Whale;Whale;Wheel
null;null;null;Voice;River;Squid;Sunny;Wheel;Wheel;Witty
null;null;null;Whale;Roast;Storm;Swirl;Witty;Witty;Woven
null;null;null;Wheel;Round;Suite;Tiger;Woven;Woven;Wryly
null;null;null;Witty;Savor;Sunny;Torch;Yacht;Yacht;Yacht
null;null;null;Woven;Sheep;Swirl;Trail;Yodel;Yodel;Yodel
null;null;null;Yacht;Shrine;Tiger;Tulip;Youth;Youth;Youth
null;null;null;Youth;Silky;Torch;Unity;Zebra;Zebra;Zebra
null;null;null;Zebra;Skies;Trail;Villa;null;null;null
null;null;null;Zooms;Smile;Tulip;Vital;null;null;null
null;null;null;null;Snail;Unity;Voice;null;null;null
null;null;null;null;Snare;Banish;Whale;null;null;null
null;null;null;null;Solar;Crave;Wheel;null;null;null
null;null;null;null;Spice;Forth;Witty;null;null;null
null;null;null;null;Spire;Gleam;Woven;null;null;null
null;null;null;null;Sport;Hinge;Yacht;null;null;null
null;null;null;null;Squid;Ivory;Yodel;null;null;null
null;null;null;null;Storm;Lapse;Youth;null;null;null
null;null;null;null;null;Merge;Zebra;null;null;null
null;null;null;null;null;Realm;Zesty;null;null;null
null;null;null;null;null;Vault;Zooms;null;null;null
