activity_id;title;standard_id;gender_id;difficulty_level_id;activity_game_type_id;priority_id;act_category_id;parent_desc;child_desc;purpose_outcome;act_frequency_id;points;is_foundational;min_time_minutes;max_time_minutes;is_safety_risk;is_festival;festival_id;is_discrematory;is_external_dependency;is_parent_supervision;is_parent_involment;parent_involment_level_id;is_screen_time;screen_time_category_id;is_negative_effects;is_free;is_archived;created_by;updated_by;created_date;updated_date;revision
278;Book Club 2;3;1;2;1;1;3;Start a book club.;Read and discuss books together.;Fosters a love for reading and critical thinking.;3;60;t;45;90;f;t;8;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 09:00:00;;0
279;Yoga Session 2;3;2;3;2;3;4;Host a yoga session.;Practice various yoga poses and breathing exercises.;Improves flexibility, mental focus, and relaxation.;4;45;t;30;60;f;t;4;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 10:00:00;;0
280;Music Jam Session 2;3;1;2;3;2;3;Organize a music jam session.;Play and improvise music together.;Fosters creativity and collaboration.;4;60;t;45;90;f;t;14;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 11:00:00;;0
281;Art Workshop 2;3;1;2;2;3;3;Organize an art workshop.;Explore various art techniques and create artworks.;Encourages creativity and self-expression.;4;60;t;45;90;f;t;7;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 13:00:00;;0
282;Drama Club 2;3;2;3;3;2;4;Start a drama club.;Act, direct, and produce theatrical performances.;Builds confidence, teamwork, and public speaking skills.;4;75;t;60;120;f;t;9;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 14:00:00;;0
283;Cooking Class 2;3;1;2;1;3;3;Organize a cooking class.;Learn cooking techniques and prepare recipes.;Promotes nutrition awareness and culinary skills.;3;90;t;45;90;f;t;13;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 15:00:00;;0
284;Coding Club 2;3;2;3;2;2;4;Start a coding club.;Learn programming languages and develop software projects.;Promotes problem-solving and computational thinking.;4;75;t;60;120;f;t;15;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 16:00:00;;0
285;Nature Walk 2;3;1;2;3;1;3;Organize a nature walk.;Explore the outdoors and observe plants and animals.;Fosters appreciation for nature and environmental stewardship.;3;60;t;30;60;f;t;10;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 17:00:00;;0
286;Debate Club 2;3;2;3;1;2;4;Start a debate club.;Discuss and debate various topics.;Enhances critical thinking, communication, and research skills.;4;60;t;45;90;f;t;5;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 18:00:00;;0
287;Science Experiment Club 2;3;1;2;2;3;3;Start a science experiment club.;Conduct various scientific experiments and explore concepts.;Encourages curiosity, inquiry, and hands-on learning.;4;90;t;45;90;f;t;8;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 19:00:00;;0
288;Music Band 2;3;2;3;3;2;4;Form a music band.;Practice instruments and perform together.;Enhances musical abilities, collaboration, and creativity.;4;75;t;60;120;f;t;12;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 20:00:00;;0
289;Robotics Club 2;3;1;2;1;3;3;Start a robotics club.;Build and program robots for various challenges.;Promotes engineering, problem-solving, and teamwork.;3;90;t;45;90;f;t;16;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 21:00:00;;0
118;Robotics Club 7;10;1;3;2;3;3;Join the robotics club.;Build and program robots.;Enhances STEM skills and teamwork.;4;100;t;60;150;f;f;;f;f;f;f;2;f;2;f;t;f;test_user;;2024-06-11 04:00:00;;0
119;Environmental Club 7;10;2;2;1;2;3;Join the environmental club.;Participate in activities to protect the environment.;Promotes environmental awareness and responsibility.;4;85;t;60;120;f;f;;f;f;f;f;1;f;1;f;t;f;test_user;;2024-06-11 04:30:00;;0
120;Drama Club 7;10;2;2;3;3;3;Join the drama club.;Perform plays and skits.;Develops confidence and creative expression.;4;90;t;60;120;f;f;;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-11 05:00:00;;0
121;Gardening Club 7;10;1;1;3;2;3;Join the gardening club.;Learn and practice gardening skills.;Promotes environmental awareness and responsibility.;3;70;t;60;120;f;f;;f;f;f;f;1;f;1;f;t;f;test_user;;2024-06-11 05:30:00;;0
122;Science Club 7;10;1;3;2;3;4;Join the science club.;Conduct experiments and learn about scientific principles.;Fosters scientific curiosity and critical thinking.;4;100;t;60;120;f;f;;f;f;f;f;2;f;2;f;t;f;test_user;;2024-06-11 08:00:00;;0
123;Math Olympiad Training 7;10;1;3;1;3;1;Prepare for the math olympiad.;Intensive training for math olympiad competitions.;Enhances problem-solving skills and mathematical knowledge.;5;120;t;90;150;f;f;;f;f;f;f;3;f;3;f;f;f;test_user;;2024-06-11 08:30:00;;0
124;Public Speaking Workshop 7;10;2;2;3;2;4;Attend a public speaking workshop.;Learn and practice public speaking skills.;Builds confidence and communication skills.;3;85;t;60;90;f;f;;f;f;t;t;3;f;2;f;t;f;test_user;;2024-06-11 09:00:00;;0
125;Art Club 7;10;2;1;2;2;2;Join the art club.;Create and exhibit artworks.;Enhances creativity and artistic skills.;4;70;t;60;90;f;f;;f;f;t;t;1;f;1;f;t;f;test_user;;2024-06-11 09:30:00;;0
126;History Quiz 7;10;1;2;1;2;1;Participate in the history quiz.;Compete in quizzes on historical topics.;Enhances knowledge of history and quick thinking.;3;65;t;30;60;f;f;;f;f;f;f;1;f;1;f;t;f;test_user;;2024-06-11 10:00:00;;0
127;Astronomy Club 7;10;2;3;2;3;4;Join the astronomy club.;Learn about stars and planets.;Fosters interest in astronomy and scientific inquiry.;4;90;t;60;120;f;f;;f;f;f;f;2;f;2;f;t;f;test_user;;2024-06-11 10:30:00;;0
128;Yoga Class 7;10;1;1;3;2;2;Join the yoga class.;Learn and practice yoga.;Promotes physical fitness and mental well-being.;4;80;t;60;90;t;f;;f;f;f;f;1;f;1;f;t;f;test_user;;2024-06-11 11:00:00;;0
129;Geography Club 7;10;2;2;1;3;2;Join the geography club.;Explore different cultures and geographies.;Enhances knowledge of geography and cultural awareness.;3;75;t;60;90;f;f;;f;f;f;f;1;f;1;f;t;f;test_user;;2024-06-11 11:30:00;;0
130;Chess Club 7;10;1;3;2;2;3;Join the chess club.;Learn and play chess.;Enhances strategic thinking and concentration.;4;90;t;60;120;f;f;;f;f;f;f;1;f;1;f;t;f;test_user;;2024-06-11 12:00:00;;0
131;Photography Club 7;10;2;2;3;3;2;Join the photography club.;Learn and practice photography.;Enhances creativity and technical skills.;4;80;t;60;120;f;f;;f;f;t;t;2;f;2;f;t;f;test_user;;2024-06-11 12:30:00;;0
132;Family Calendar;10;3;2;1;2;1;Your child will take charge of crafting a family calendar to coordinate activities for all family members, ensuring everyone enjoys quality time together.;Hi ______ you will be in charge of creating a family calendar. Organize the schedules of all family members in a common calendar so you can understand when you guys can spend quality time together. Be creative you can include holidays, birthdays or other events where you all can spend time together.;This activity will help your child develop interpersonal intelligence through collaboration and understanding everyones needs. This will also help develop;2;40;f;10;30;f;f;;f;f;t;t;1;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
133;Study Planner;10;1;1;2;2;2;Your child will create a weekly study plan or schedule to help them organize their learning goals and tasks effectively.;Hi _____, create a weekly study schedule where you plan what subjects you need to study, any homework assignments, and any other tasks you need to complete. This will help you stay on track and make sure you have enough time for everything. you need to complete. This will help you stay on track and make sure you have enough time for everything. Following Study plan on regular basis will help you to reflect back on strategy and make changes ;This task will help them develop goal setting, organizational, and time management skills.;1;20;f;10;20;f;f;;f;f;t;t;2;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
134;Study Planner;10;3;3;1;2;3;Your child will create a weekly study plan or schedule to help them organize their learning goals and tasks effectively.;Hi _____, create a weekly study schedule where you plan what subjects you need to study, any homework assignments, and any other tasks you need to complete. This will help you stay on track and make sure you have enough time for everything. you need to complete. This will help you stay on track and make sure you have enough time for everything. Following Study plan on regular basis will help you to reflect back on strategy and make changes ;This task will help them develop goal setting, organizational, and time management skills.;1;20;f;10;20;f;f;;f;f;t;t;1;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
135;Meal Tracker;10;3;3;1;3;4;Encourage your child to create a food chart and record their daily meals for the week.;Hi _______, please create a food chart and write down everything you eat for each meal every day. This way, you can keep track of what you are eating and learn more about your food choices. Its a great way to become more aware of your dietary habits (that is how much junk food vs healthy food you are consuming) and make healthier decisions.;This activity promotes awareness of dietary habits and encourages healthy eating practices. By documenting their meals, your child will gain insight into their food choices ;3;25;f;10;25;f;f;;f;f;t;t;3;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
177;Nature Photography Club 2;10;3;2;3;3;3;Start a nature photography club.;Capture images of nature and wildlife.;Encourages appreciation for nature, photography skills, and creativity.;4;90;t;45;90;f;t;16;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-10 05:00:00;;0
152;Sorting game;10;3;3;2;2;3;xyz;Do It now;Understanding the concept of volume;1;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
153;Spot the Difference;10;2;1;2;1;4;xyz;Do It now;Understanding the concept;2;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
154;Match the colour;10;3;1;1;1;1;xyz;Do It now;Understanding the concept;2;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
155;Match the Alphabet;10;2;3;2;2;2;xyz;Do It now;Understanding the concept;3;40;f;20;30;f;f;;f;f;t;t;3;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
156;Match the Alphabet;10;3;1;1;1;1;xyz;Do It now;Understanding the concept;3;40;f;20;30;f;f;;f;f;t;t;3;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
157;Storytelling;10;3;3;3;3;3;story telling (xyz);Do It now;Understanding the story;1;40;f;20;30;f;f;;f;f;t;t;1;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
158;Walk the Lines;10;2;1;3;1;4;(xyz);abc;Understanding the story;1;40;f;20;30;f;f;;f;f;t;t;1;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
159;Art and Craft Club 2;10;1;2;2;3;3;Start an art and craft club.;Create various artworks using different techniques and materials.;Fosters creativity, imagination, and fine motor skills.;4;90;t;45;90;f;t;8;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 09:00:00;;0
160;Drama Club 2;10;1;2;2;2;3;Start a drama club.;Practice acting and stage performances.;Enhances communication skills, creativity, and self-expression.;4;75;t;60;120;f;t;12;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 10:00:00;;0
161;Nature Club 2;10;1;2;2;3;3;Start a nature club.;Explore and learn about the natural world through outdoor activities.;Promotes environmental awareness, curiosity, and appreciation for nature.;4;90;t;45;90;f;t;16;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 11:00:00;;0
162;Coding Club 2;10;1;2;1;3;3;Start a coding club.;Learn and practice coding skills through projects and challenges.;Enhances problem-solving abilities, logical thinking, and creativity.;3;90;t;45;90;f;t;11;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 12:00:00;;0
163;Cooking Club 2;10;1;2;2;2;3;Start a cooking club.;Learn and practice cooking skills through recipes and experiments.;Enhances culinary skills, teamwork, and creativity in the kitchen.;4;75;t;60;120;f;t;16;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 13:00:00;;0
164;Debate Club 2;10;1;2;3;3;3;Start a debate club.;Discuss and debate various topics.;Develops critical thinking, public speaking, and research skills.;4;75;t;60;120;f;t;12;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 14:00:00;;0
165;Science Fair 2;10;1;2;1;3;3;Organize a science fair.;Prepare and present science projects.;Encourages scientific inquiry, experimentation, and presentation skills.;3;90;t;45;90;f;t;8;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 15:00:00;;0
166;Creative Writing Club 2;10;1;2;3;3;3;Start a creative writing club.;Write and share creative stories and poems.;Fosters imagination, literacy, and self-expression through writing.;4;75;t;60;120;f;t;6;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 16:00:00;;0
167;Astronomy Club 2;10;3;2;1;3;3;Start an astronomy club.;Explore the universe through telescopes and stargazing.;Promotes scientific curiosity, astronomy knowledge, and appreciation for the cosmos.;4;90;t;45;90;f;t;16;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 19:00:00;;0
168;Chess Club 2;10;3;2;1;3;3;Start a chess club.;Learn and play chess.;Enhances strategic thinking, problem-solving, and concentration.;4;90;t;45;90;f;t;11;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 20:00:00;;0
169;Music Club 2;10;3;2;2;3;3;Start a music club.;Learn and play musical instruments.;Develops musical skills, creativity, and teamwork.;4;75;t;60;120;f;t;8;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 21:00:00;;0
170;Book Club 2;10;3;2;3;3;3;Start a book club.;Read and discuss books together.;Fosters literacy, critical thinking, and communication skills.;4;75;t;60;120;f;t;16;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 22:00:00;;0
171;Dance Club 2;10;3;2;2;3;3;Start a dance club.;Learn and practice dance routines.;Promotes physical fitness, coordination, and creativity.;4;90;t;45;90;f;t;12;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 23:00:00;;0
172;Soccer Club 2;10;3;2;2;3;3;Start a soccer club.;Practice soccer skills and play matches.;Enhances physical fitness, teamwork, and sportsmanship.;4;75;t;60;120;f;t;8;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 23:00:00;;0
173;Yoga Club 2;10;3;2;3;3;3;Start a yoga club.;Practice yoga poses and breathing exercises.;Promotes physical and mental well-being, relaxation, and stress relief.;4;90;t;45;90;f;t;12;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-10 01:00:00;;0
174;Swimming Club 2;10;3;2;2;3;3;Start a swimming club.;Learn and practice swimming techniques.;Enhances water safety skills, physical fitness, and confidence in the water.;4;90;t;45;90;f;t;16;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-10 02:00:00;;0
175;Coding Competition 2;10;3;2;1;3;3;Participate in a coding competition.;Solve coding challenges individually and in teams.;Enhances problem-solving abilities, coding skills, and teamwork.;3;90;t;45;90;f;t;11;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-10 03:00:00;;0
176;Art Therapy 2;10;3;2;3;3;3;Organize an art therapy session.;Express emotions and thoughts through art.;Promotes emotional expression, stress relief, and self-discovery.;4;90;t;45;90;f;t;8;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-10 04:00:00;;0
235;Walk the Lines;5;2;1;3;1;4;(xyz);abc;Understanding the story;1;40;f;20;30;f;f;;f;f;t;t;1;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
236;Debate Club 2;5;1;2;3;3;3;Start a debate club.;Discuss and debate various topics.;Develops critical thinking, public speaking, and research skills.;4;75;t;60;120;f;t;12;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 14:00:00;;0
237;Science Fair 2;5;1;2;1;3;3;Organize a science fair.;Prepare and present science projects.;Encourages scientific inquiry, experimentation, and presentation skills.;3;90;t;45;90;f;t;8;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 15:00:00;;0
238;Creative Writing Club 2;5;1;2;3;3;3;Start a creative writing club.;Write and share creative stories and poems.;Fosters imagination, literacy, and self-expression through writing.;4;75;t;60;120;f;t;6;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-09 16:00:00;;0
239;Family Calendar;8;3;2;1;2;1;Your child will take charge of crafting a family calendar to coordinate activities for all family members, ensuring everyone enjoys quality time together.;Hi ______ you will be in charge of creating a family calendar. Organize the schedules of all family members in a common calendar so you can understand when you guys can spend quality time together. Be creative you can include holidays, birthdays or other events where you all can spend time together.;This activity will help your child develop interpersonal intelligence through collaboration and understanding everyones needs. This will also help develop;2;40;f;10;30;f;f;;f;f;t;t;1;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
240;Study Planner;8;1;1;2;2;2;Your child will create a weekly study plan or schedule to help them organize their learning goals and tasks effectively.;Hi _____, create a weekly study schedule where you plan what subjects you need to study, any homework assignments, and any other tasks you need to complete. This will help you stay on track and make sure you have enough time for everything. you need to complete. This will help you stay on track and make sure you have enough time for everything. Following Study plan on regular basis will help you to reflect back on strategy and make changes ;This task will help them develop goal setting, organizational, and time management skills.;1;20;f;10;20;f;f;;f;f;t;t;2;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
241;Study Planner;8;3;3;1;2;3;Your child will create a weekly study plan or schedule to help them organize their learning goals and tasks effectively.;Hi _____, create a weekly study schedule where you plan what subjects you need to study, any homework assignments, and any other tasks you need to complete. This will help you stay on track and make sure you have enough time for everything. you need to complete. This will help you stay on track and make sure you have enough time for everything. Following Study plan on regular basis will help you to reflect back on strategy and make changes ;This task will help them develop goal setting, organizational, and time management skills.;1;20;f;10;20;f;f;;f;f;t;t;1;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
242;Meal Tracker;8;3;3;1;3;4;Encourage your child to create a food chart and record their daily meals for the week.;Hi _______, please create a food chart and write down everything you eat for each meal every day. This way, you can keep track of what you are eating and learn more about your food choices. Its a great way to become more aware of your dietary habits (that is how much junk food vs healthy food you are consuming) and make healthier decisions.;This activity promotes awareness of dietary habits and encourages healthy eating practices. By documenting their meals, your child will gain insight into their food choices ;3;25;f;10;25;f;f;;f;f;t;t;3;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
243;Emotions Charades;8;2;1;2;1;3;Your family will engage in a game to explore how tone influences communication and emotions. Through this activity, you will learn how the way you speak affects how others understand you and perceive your emotions.;This activity helps you see if your child can express emotions well and understand how others feel.;Hi _____, play a game with your family on how the tone odour voices affects, how others understand our emotions. This activity is all about understanding how someone feels just by the way they say a sentence.;4;40;f;15;30;f;f;;f;f;t;t;1;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
244;Financial Literacy;8;3;3;3;3;1;Your child will maintain a spending journal for a week. They will note down every purchase they make, along with how much they spend.;Hi _______, maintain an EXPENSE TRACKER ( spending journal ) for one week, writing down every purchase you make along with the amount spent. Categorize items in WANTs Vs NEEDS, and reflect back.;This activity promotes financial awareness and responsibility.;4;40;f;15;30;f;f;;f;f;t;t;1;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
245;Financial Literacy;8;3;2;2;2;2;Your child will maintain a spending journal for a week. They will note down every purchase they make, along with how much they spend.;Hi _______, maintain an EXPENSE TRACKER ( spending journal ) for one week, writing down every purchase you make along with the amount spent. Categorize items in WANTs Vs NEEDS, and reflect back.;This activity promotes financial awareness and responsibility.;3;40;f;15;30;f;f;;f;f;t;t;3;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
246;Financial Literacy;8;3;3;2;3;2;Encourage your child to read a book this week and share their thoughts in a review. What did they enjoy? What could have been better?;Hi _______, maintain an EXPENSE TRACKER ( spending journal ) for one week, writing down every purchase you make along with the amount spent. Categorize items in WANTs Vs NEEDS, and reflect back.;This activity promotes financial awareness and responsibility.;3;40;f;15;30;f;f;;f;f;t;t;2;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
247;Hilarious Headlines;8;1;1;2;1;1;Your child will take charge of crafting a family calendar to coordinate activities for all family members, ensuring everyone enjoys quality time together.;Hi ______ you will be in charge of creating a family calendar. Organize the schedules of all family members in a common calendar so you can understand when you guys can spend quality time together. Be creative you can include holidays, birthdays or other events where you all can spend time together.;This activity will help your child develop interpersonal intelligence through collaboration and understanding everyones needs. This will also help develop;1;40;f;10;30;f;f;;f;f;t;t;1;f;;f;t;f;Shaurya;;2024-06-03 12:00:00;;0
290;Outdoor Sports 2;3;2;3;2;2;4;Organize outdoor sports activities.;Play various sports like football, basketball, and volleyball.;Promotes physical fitness, teamwork, and sportsmanship.;4;75;t;60;120;f;t;11;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 22:00:00;;0
291;Book Club 2;3;1;2;3;1;3;Start a book club.;Read and discuss books together.;Fosters a love for reading, critical thinking, and communication.;3;60;t;30;60;f;t;6;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 23:00:00;;0
292;Chess Club 2;3;2;3;1;2;4;Start a chess club.;Learn and play chess.;Develops strategic thinking, concentration, and decision-making.;4;60;t;45;90;f;t;14;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 23:00:00;;0
293;Newspaper Puzzle;1;1;2;3;1;4;Create a daily puzzle for your child by cutting a newspaper photo into 9-12 pieces for them to solve and enjoy.;xyz;Child gets habituated to go through newspaper daily Turning pages of paper improves fine motor skills;2;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
294;Big and Small;1;3;3;2;2;2;Give your child containers of different sizes, and ask them to fill cotton balls in them. (Ask your child which container has more and less cotton? Explain the concept of big and small containers.);abc;Understanding the concept of volume;2;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
295;Big and Small;1;1;3;1;1;1;Give your child containers of different sizes, and ask them to fill cotton balls in them. (Ask your child which container has more and less cotton? Explain the concept of big and small containers.);abc;Understanding the concept of volume;2;40;f;20;30;f;f;;f;f;t;t;3;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
296;Big and Small;1;1;3;1;1;1;Talk about the various elements of a neighbourhood, such as houses, workplaces, gardens, stores, banks, and hospitals.(Ask child what they have observed in their own neighbourhood.) Ask your child to circle any photographs in the newspaper that include objects they observe in the neighbourhood.;Do It;Understanding the concept of volume;1;30;t;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
297;Guess the sound;1;1;3;1;1;1;Let kids make guesses while you play common noises like sirens and mixers, as well as animal sounds.;Do It;Understanding the concept of volume;1;30;t;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
298;Veggie Printing;1;3;2;2;2;3;xyz;Do It;Understanding the concept of volume;2;30;t;20;30;f;f;;f;f;t;t;3;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
299;Prepare the dining table;1;1;1;1;1;1;xyz;Do It;Understanding the concept of volume;1;30;t;20;30;f;f;;f;f;t;t;1;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
300;Shlok Time;1;3;2;2;2;3;Involve your child to help you set the dining table. Teach them about where everything is kept in the kitchen. (Give child non breakable crockery to begin with. you can give glass plates once they master this). You can ask child to add any decorative pieces to the table like artificial plants, flowers, napkins etc. encourage child to make a special arrangement when you have guests.;Do It;Understanding the concept of volume;1;30;t;20;30;f;f;;f;f;t;t;1;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
301;Tune your Ears;1;2;3;3;3;1;Every evening, have your kid recite shubhamkaroti shloka and then touch the feet of the elderly in the house to take blessings;Do It;Understanding the concept of volume;3;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
302;Tune your Ears;1;1;1;1;1;1;Every evening, have your kid recite shubhamkaroti shloka and then touch the feet of the elderly in the house to take blessings;Do It;Understanding the concept of volume;1;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
303;Sorting game;1;3;3;2;2;3;xyz;Do It now;Understanding the concept of volume;1;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
304;Spot the Difference;1;2;1;2;1;4;xyz;Do It now;Understanding the concept;2;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
305;Match the colour;1;3;1;1;1;1;xyz;Do It now;Understanding the concept;2;40;f;20;30;f;f;;f;f;t;t;2;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
306;Match the Alphabet;1;2;3;2;2;2;xyz;Do It now;Understanding the concept;3;40;f;20;30;f;f;;f;f;t;t;3;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
307;Match the Alphabet;1;3;1;1;1;1;xyz;Do It now;Understanding the concept;3;40;f;20;30;f;f;;f;f;t;t;3;f;;f;t;f;pratik;;2024-06-03 12:00:00;;0
